y_obs,c_obs,i_obs,g_obs,pi_obs,r_obs,n_obs,w_obs,b_obs
-2.72183908,-0.181548699,-8.137447066,2.722988506,-1.4,0.001333333,2.048796359,0.009229792,-0.097570746
-1.117612998,0.032704606,-5.682099646,1.123169994,-1.5,0.001,-6.162889804,-0.008210845,-0.071850234
0.186613084,0.446957912,-3.626752225,1.423351482,-1.5,0.003,-3.242112908,0.001951898,-0.056754903
0.490839167,0.161211218,0.128595195,-0.17646703,-1.5,0.002,-1.206279281,-8.19E-05,-0.050500662
0.495065249,-0.124535477,0.283942615,0.223714459,-2.4,0.001666667,-3.896327945,0.001278168,-0.03731685
0.699291332,-0.510282171,3.539290035,0.523895947,-1.2,0.001,-4.278659298,-0.000947554,-0.082470156
0.503517414,-1.096028865,0.994637456,0.224077435,-1.2,0.001666667,-4.431368362,-0.009773693,-0.056419273
0.907743497,0.31822444,4.349984876,0.924258923,-1.6,0.001,-4.182123465,-0.011406532,-0.046913228
2.711969579,0.932477746,4.405332296,0.824440411,-1.3,0.000666667,-1.836382949,-0.027787197,-0.023521045
1.416195662,0.646731052,3.260679717,-0.4753781,-1.6,0.000666667,-1.427670192,-0.030869634,0.006876474
1.420421744,0.960984357,4.516027137,-0.375196612,-1.2,0.000666667,-1.418752525,-0.024926628,0.014146159
-0.175352174,-1.024762337,2.971374557,-0.775015124,-0.3,0.001,-2.503465099,-0.030589194,0.028673566
-0.071126091,-0.710509031,5.726721977,-0.274833636,-0.8,0.001333333,0.333016518,0.005460542,0.046948033
0.533099991,0.103744274,8.082069398,-0.474652148,-0.9,0.001,3.345369264,0.01414499,0.059052667
1.037326074,0.41799758,8.537416818,-1.074470659,-1.1,0.001,6.134760021,0.016961139,0.064601312
1.541552156,1.432250886,5.692764238,-0.474289171,-1.3,0.001,4.713726407,0.026187223,0.06964902
1.645778239,1.446504192,3.148111658,-1.774107683,-1.2,0.001333333,4.256634044,0.009289757,0.069113
0.650004321,0.560757497,1.903459079,-1.073926195,-1.1,0.019333333,7.224107761,0.018763523,0.062687339
-0.545769596,-1.124989197,-0.341193501,-0.973744707,-0.7,0.222,11.37627883,0.018057411,0.061652818
0.558456486,-0.010735891,3.014153919,-1.373563218,-0.5,0.255333333,13.53878658,0.024193645,0.054630149
1.662682568,0.303517414,4.16950134,-0.67338173,-0.6,0.377666667,12.68808986,0.016433519,0.043032693
0.766908651,0.21777072,0.42484876,-0.273200242,-0.5,0.514,14.33274327,0.028795437,0.036500031
0.671134733,0.432024026,-2.91980382,-0.473018754,-0.6,0.498,14.88779791,0.027088513,0.030117135
0.175360816,-0.353722669,-6.2644564,0.527162734,-1.2,0.501,19.84839814,0.034586483,0.024132319
-0.220413102,-0.139469363,-4.309108979,-0.072655777,-1.1,0.505666667,13.85551965,0.03324225,0.026282361
-1.016187019,-2.225216057,-4.753761559,-1.972474289,-1.4,0.506666667,14.25842514,0.028419369,0.01324127
-1.811960937,-1.710962752,-2.598414139,-1.772292801,-1.5,0.500666667,12.177447,0.022850344,0.003387212
-4.407734854,-2.796709446,-3.343066719,-2.072111313,0,0.333,9.704084586,0.014773988,-0.002886485
-9.603508772,-4.28245614,-10.8877193,-1.971929825,0.2,0.110333333,-0.021956987,-0.011699578,-0.011197569
-6.999282689,-1.768202835,-14.43237188,0.628251664,-0.1,0.103333333,-5.102707401,-0.030097316,-0.010569231
-5.895056607,-0.553949529,-17.47702446,1.928433152,-0.3,0.103333333,-11.64938422,-0.029369841,-0.009939432
-2.190830525,1.060303777,-15.22167704,2.12861464,-2.3,0.104,-16.37553503,-0.034070761,-0.010844802
3.813395558,2.374557082,-8.566329617,0.828796128,-2.3,0.098,-9.086455071,-0.01976988,-0.004293503
2.81762164,1.588810388,-3.310982197,1.028977616,-1.9,0.093,-12.1609973,-0.020162817,0.002113769
4.921847723,2.703063694,1.644365223,0.229159105,-1.7,0.093333333,-8.814068178,-0.023401205,0.002289369
2.226073805,0.517316999,3.499712644,0.129340593,-1.6,0.089666667,-12.7537664,-0.028852419,0.005188845
-0.069700112,-1.968429695,4.255060064,1.629522081,-1.6,0.087666667,-17.03509078,-0.024640226,0.005829325
-1.46547403,-0.954176389,0.610407484,0.329703569,-2,0.066666667,-27.13844214,-0.028505493,0.008387413
-1.161247947,-1.139923084,1.865754905,0.229885057,-1.7,0.078,-26.81551762,-0.027783036,0.013618639
-0.757021865,0.274330222,6.321102325,0.030066546,-1.4,0.078666667,-12.6847057,-0.027973969,0.010618727
2.147204217,2.788583528,3.576449745,0.930248034,-0.9,0.083,-13.33219882,0.014810971,0.006913212
2.1514303,2.302836833,6.031797165,0.030429522,-0.8,0.078333333,-12.07503764,0.006296991,0.005195558
-0.744343618,0.617090139,2.787144586,-0.06938899,-0.6,0.085,-11.61325316,0.007612007,0.006535367
-0.540117535,0.431343445,-0.757507994,0.330792498,-0.7,0.084333333,-15.1082458,0.003051556,0.013657299
-0.035891453,1.84559675,-0.102160574,-0.569026013,-0.9,0.082666667,-8.794454342,0.007045159,0.002171411
1.06833463,1.859850056,2.353186846,0.731155475,-0.4,0.073,-3.567752436,0.006505507,0.000794201
2.072560712,2.074103362,4.608534267,0.431336963,-0.1,0.072666667,-2.695774389,0.001254964,-0.002339258
1.976786795,1.888356668,6.463881687,-0.068481549,0,0.072333333,4.499578557,0.004564212,-0.001521499
2.381012877,3.302609973,9.819229107,0.43169994,0.3,0.074,-0.978627186,0.006792784,-0.00253396
-1.014761041,-3.183136721,1.774576528,-1.568118572,2.2,0.066666667,7.25464693,0.012915013,-0.006038789
-1.810534958,-2.968883415,-0.970076052,-1.167937084,2.1,0.067,8.427031897,0.012568848,-0.012185469
-1.106308876,-2.05463011,-2.314728632,-1.067755596,2.4,0.064,8.696544044,0.009718033,-0.025633727
-0.802082793,-3.940376804,-2.359381212,-0.167574108,3.3,0.073333333,8.39318521,0.000226668,-0.012876999
1.102143289,0.673876502,-0.904033791,0.332607381,1.6,0.067333333,10.34442461,-0.003452455,-0.02573681
1.406369372,0.888129807,0.251313629,0.232788869,1.8,0.074333333,14.74657983,0.004888798,-0.034488457
0.410595454,-0.397616887,0.006661049,0.832970357,1.5,0.076333333,15.72145274,-0.000710896,-0.047600786
-0.285178463,-0.383363581,-1.737991531,1.333151845,0.9,0.034666667,19.58257728,0.005123594,-0.05403282
